stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"621-02","","八戸中心街ターミナル（八日町）","","40.510775","141.492652","Z621-02","","0","","","","2"
"428-01","","二十八日町","","40.512717","141.496184","Z428-01","","0","","","",""
"314-02","","館花下","","40.510859","141.502586","Z314-02","","0","","","",""
"224-02","","市民センター前","","40.508728","141.507743","Z224-02","","0","","","",""
"117-02","","上明戸","","40.507745","141.512461","Z117-02","","0","","","",""
"7-02","","明戸","","40.507581","141.515810","Z7-02","","0","","","",""
"417-02","","新井田大橋","","40.507447","141.524220","Z417-02","","0","","","",""
"222-02","","四本松","","40.506291","141.530939","Z222-02","","0","","","",""
"630-02","","湊病院前","","40.505269","141.534167","Z630-02","","0","","","",""
"8-01","","旭ヶ丘営業所","","40.502752","141.538403","Z8-01","","0","","","",""
"630-01","","湊病院前","","40.504821","141.534582","Z630-01","","0","","","",""
"222-01","","四本松","","40.506759","141.527598","Z222-01","","0","","","",""
"417-01","","新井田大橋","","40.507273","141.522830","Z417-01","","0","","","",""
"7-01","","明戸","","40.507421","141.514789","Z7-01","","0","","","",""
"117-01","","上明戸","","40.507829","141.510430","Z117-01","","0","","","",""
"224-01","","市民センター前","","40.508532","141.507541","Z224-01","","0","","","",""
"314-01","","館花下","","40.510544","141.502642","Z314-01","","0","","","",""
"229-01","","下大工町","","40.511625","141.496251","Z229-01","","0","","","",""
"621-04","","八戸中心街ターミナル（朔日町）","","40.509944","141.493211","Z621-04","","0","","","","4"
"552-01","","本八戸駅","","40.516436","141.489056","Z552-01","","0","","","",""
"219-01","","市庁前","","40.512725","141.489833","Z219-01","","0","","","",""
"621-05","","八戸中心街ターミナル（六日町）","","40.509040","141.491572","Z621-05","","0","","","","5"
"621-01","","八戸中心街ターミナル（三日町）","","40.509911","141.491089","Z621-01","","0","","","","1"
"219-02","","市庁前","","40.511883","141.489956","Z219-02","","0","","","",""
"38-01","","大杉平バスセンター","","40.499430","141.481535","Z38-01","","0","","","",""
"303-01","","平中通","","40.501504","141.481835","Z303-01","","0","","","",""
"255-01","","新荒町","","40.506286","141.483089","Z255-01","","0","","","",""
"13-01","","荒町","","40.506633","141.484711","Z13-01","","0","","","",""
"427-01","","二十三日町","","40.508003","141.487667","Z427-01","","0","","","",""
"234-01","","十三日町","","40.508916","141.489262","Z234-01","","0","","","",""
"236-01","","十六日町","","40.507908","141.489567","Z236-01","","0","","","",""
"255-03","","新荒町","","40.505269","141.483189","Z255-03","","0","","","",""
"303-02","","平中通","","40.502864","141.482032","Z303-02","","0","","","",""
"524-01","","東運動公園","","40.502965","141.540929","Z524-01","","0","","","",""
"628-01","","湊高台二丁目","","40.506071","141.540702","Z628-01","","0","","","",""
"548-01","","平和病院前","","40.507162","141.537756","Z548-01","","0","","","",""
"626-01","","湊高台一丁目","","40.509043","141.533039","Z626-01","","0","","","",""
"222-03","","四本松","","40.507300","141.530654","Z222-03","","0","","","",""
"626-02","","湊高台一丁目","","40.509169","141.532906","Z626-02","","0","","","",""
"548-02","","平和病院前","","40.507178","141.537974","Z548-02","","0","","","",""
"628-02","","湊高台二丁目","","40.506113","141.540814","Z628-02","","0","","","",""
"524-02","","東運動公園","","40.503076","141.541146","Z524-02","","0","","","",""
"12-01","","旭ヶ丘四丁目","","40.498437","141.539520","Z12-01","","0","","","",""
"9-01","","旭ヶ丘団地","","40.498042","141.535502","Z9-01","","0","","","",""
"10-01","","旭ヶ丘西口","","40.497777","141.532446","Z10-01","","0","","","",""
"638-01","","見晴台","","40.496391","141.529241","Z638-01","","0","","","",""
"418-01","","新井田団地前","","40.494933","141.524846","Z418-01","","0","","","",""
"409-01","","中町","","40.495085","141.521206","Z409-01","","0","","","",""
