route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id,jp_pattern_id
"旭ヶ丘・中心街線","1_平日","1-平日-30122-1","本八戸駅","","0","","","0","0","","","30","30122"
"是川団地線（大館中学校まわり）","1_平日","1-平日-401212-1","是川団地","","0","","","0","0","","","30","401212"
"鮫（上柳町まわり）・長者中学校線","1_平日","1-平日-100111-1","大杉平バスセンター","","1","","","0","0","","","30","100111"
"鮫（上柳町まわり）・長者中学校線","1_平日","1-平日-100112-1","鮫小学校通","","0","","","0","0","","","30","100112"
"是川団地線（大館中学校まわり）","1_平日","1-平日-401212-2","是川団地","","0","","","0","0","","","30","401212"
"是川団地線（中居林まわり）","1_平日","1-平日-400112-1","本八戸駅","","0","","","0","0","","","30","400112"
"町畑線","1_平日","1-平日-320112-1","第二桜ヶ丘","","0","","","0","0","","","30","320112"
"八戸駅（西高校）線","1_平日","1-平日-600112-1","八戸駅","","0","","","0","0","","","30","600112"
"是川団地線（大館中学校まわり）","1_平日","1-平日-401212-3","是川団地","","0","","","0","0","","","30","401212"
"多賀台団地線（河原木団地まわり）","1_平日","1-平日-580132-1","多賀台団地","","0","","","0","0","","","30","580132"
"旭ヶ丘線（吹上まわり）","1_平日","1-平日-30442-1","本八戸駅","","0","","","0","0","","","30","30442"
"多賀台団地線（河原木団地まわり）","1_平日","1-平日-582321-1","八戸中心街ターミナル","","1","","","0","0","","","30","582321"
"旧シーガルビューホテル線","1_平日","1-平日-101112-1","旧シーガルビューホテル","","0","","","0","0","","","30","101112"
"多賀台団地線（八太郎まわり）","1_平日","1-平日-581712-1","多賀台団地","","0","","","0","0","","","30","581712"
"平庭線","1_平日","1-平日-250332-1","平庭","","0","","","0","0","","","30","250332"
"八戸駅（西高校）線","1_平日","1-平日-600312-1","八戸駅","","0","","","0","0","","","30","600312"
"鮫（白銀まわり）線","1_平日","1-平日-610112-1","鮫小学校通","","0","","","0","0","","","30","610112"
"旧シーガルビューホテル線","1_平日","1-平日-101121-1","鮫","","1","","","0","0","","","30","101121"
"八戸ニュータウン・高専線_内回り1","1_平日","1-平日-711113-1","八戸中心街ターミナル","","0","","","0","0","","","30","711113"
"美保野線","1_平日","1-平日-270511-1","旭ヶ丘営業所","","1","","","0","0","","","30","270511"
"鮫（上柳町まわり）・長者中学校線","1_平日","1-平日-100112-2","鮫小学校通","","0","","","0","0","","","30","100112"
"多賀台団地線（八太郎まわり）","1_平日","1-平日-581711-1","大杉平バスセンター","","1","","","0","0","","","30","581711"
"鮫（上柳町まわり）・長者中学校線","1_平日","1-平日-100111-2","大杉平バスセンター","","1","","","0","0","","","30","100111"
"平庭線","1_平日","1-平日-250331-1","八戸中心街ターミナル","","1","","","0","0","","","30","250331"
"鮫（白銀まわり）線","1_平日","1-平日-601631-1","中央市場","","1","","","0","0","","","30","601631"
"鮫中学校線（東霊園まわり）","1_平日","1-平日-100712-1","鮫小学校通","","0","","","0","0","","","30","100712"
"町畑線","1_平日","1-平日-320112-2","第二桜ヶ丘","","0","","","0","0","","","30","320112"
"町畑線","1_平日","1-平日-320111-1","旭ヶ丘営業所","","1","","","0","0","","","30","320111"
"是川団地線（中居林まわり）","1_平日","1-平日-400412-1","舟見町","","0","","","0","0","","","30","400412"
"多賀台団地線（河原木団地まわり）","1_平日","1-平日-580132-2","多賀台団地","","0","","","0","0","","","30","580132"
"是川団地線（大館中学校まわり）","1_平日","1-平日-401212-4","是川団地","","0","","","0","0","","","30","401212"
"日計線","1_平日","1-平日-561412-1","シルバークリニック","","0","","","0","0","","","30","561412"
"岬台団地線（上柳町まわり）","1_平日","1-平日-240212-1","大杉平バスセンター","","0","","","0","0","","","30","240212"
"八戸駅（西高校）線","1_平日","1-平日-600451-1","八戸中心街ターミナル","","1","","","0","0","","","30","600451"
"多賀台団地線（河原木団地まわり）","1_平日","1-平日-580132-3","多賀台団地","","0","","","0","0","","","30","580132"
"八戸ニュータウン・高専線_外回り1","1_平日","1-平日-710111-1","旭ヶ丘営業所","","1","","","0","0","","","30","710111"
"是川団地線（中居林まわり）","1_平日","1-平日-400112-2","本八戸駅","","0","","","0","0","","","30","400112"
"鮫（上柳町まわり）・長者中学校線","1_平日","1-平日-100212-1","鮫小学校通","","0","","","0","0","","","30","100212"
"町畑線（吹上まわり）","1_平日","1-平日-320262-1","本八戸駅","","0","","","0","0","","","30","320262"
"多賀台団地線（八太郎→河原木まわり）","1_平日","1-平日-581913-1","八戸中心街ターミナル","","0","","","0","0","","","30","581913"
"八戸駅（西高校）線","1_平日","1-平日-600122-1","西高校前","","0","","","0","0","","","30","600122"
"是川団地線（中居林まわり）","1_平日","1-平日-400111-1","是川団地","","1","","","0","0","","","30","400111"
"多賀台団地線（河原木→八太郎まわり）","1_平日","1-平日-581914-1","大杉平バスセンター","","0","","","0","0","","","30","581914"
"八戸ニュータウン・高専線_内回り1","1_平日","1-平日-710112-1","聖ウルスラ学院","","0","","","0","0","","","30","710112"
"種差線","1_平日","1-平日-140312-1","金浜小学校前","","0","","","0","0","","","30","140312"
"岬台団地線（上柳町まわり）","1_平日","1-平日-240212-2","大杉平バスセンター","","0","","","0","0","","","30","240212"
"日計線","1_平日","1-平日-561431-1","旭ヶ丘営業所","","1","","","0","0","","","30","561431"
"岬台団地線（上柳町まわり）","1_平日","1-平日-240111-1","岬台団地","","1","","","0","0","","","30","240111"
"工業大学線（東霊園まわり）","1_平日","1-平日-340411-1","工業大学前","","1","","","0","0","","","30","340411"
"鮫（上柳町まわり）・長者中学校線","1_平日","1-平日-100111-3","大杉平バスセンター","","1","","","0","0","","","30","100111"
"八戸駅（西高校）線","1_平日","1-平日-601711-1","大杉平バスセンター","","1","","","0","0","","","30","601711"
"工業大学線（館花下まわり）","1_平日","1-平日-340111-1","工業大学前","","1","","","0","0","","","30","340111"
"平庭線","1_平日","1-平日-250331-2","八戸中心街ターミナル","","1","","","0","0","","","30","250331"
